iter	Passed	Remaining
189	1606757	40676345
190	1615809	40682863
191	1624063	40669261
192	1632395	40657636
193	1644128	40730320
194	1652492	40719119
195	1664375	40794186
196	1674684	40830004
197	1685452	40876468
198	1695409	40902828
199	1705804	40939316
200	1714468	40933990
201	1723207	40930448
202	1731877	40925194
203	1740057	40908413
204	1748569	40899463
205	1756815	40884332
206	1765406	40877271
207	1774047	40871324
208	1782800	40867938
209	1792231	40879954
210	1800381	40862684
211	1808460	40843913
212	1817131	40838544
213	1825056	40816452
214	1833474	40805465
215	1841857	40793739
216	1850277	40782853
217	1858121	40759338
218	1867028	40759202
219	1875164	40742214
220	1883634	40732537
221	1892486	40731084
222	1901348	40729786
223	1910241	40729070
224	1919261	40731001
225	1928088	40728726
226	1936859	40725234
227	1946894	40748163
228	1955897	40749281
229	1965084	40754151
230	1973484	40742630
231	1981930	40732093
232	1990458	40723233
233	1998794	40710493
234	2008784	40731307
235	2017200	40720100
236	2025319	40702944
237	2034890	40714905
238	2043658	40710708
239	2051936	40696737
240	2059900	40676618
241	2069243	40683727
242	2077194	40663440
243	2085297	40646200
244	2094393	40648328
245	2102879	40638577
246	2111090	40623529
247	2119825	40618592
248	2128755	40617329
249	2137116	40605208
250	2145148	40586898
251	2153342	40571714
252	2162320	40571285
253	2170893	40563222
254	2179355	40553113
255	2188078	40547831
256	2196924	40544801
257	2205192	40531088
258	2214214	40531246
259	2222748	40522420
260	2231972	40526115
261	2240910	40524561
262	2249990	40525502
263	2259582	40535536
264	2269270	40547150
265	2278122	40543729
266	2286891	40538800
267	2295860	40537355
268	2304537	40530735
269	2313259	40524885
270	2325058	40572699
271	2334603	40580901
272	2344360	40592639
273	2354586	40612327
274	2366296	40657275
275	2375424	40657620
276	2384771	40661650
277	2394201	40666980
278	2402690	40656276
279	2411299	40647620
280	2420513	40649116
281	2430063	40656168
282	2439918	40668186
283	2448523	40659288
284	2457025	40648676
285	2465470	40637167
286	2474440	40634278
287	2482877	40622639
288	2491812	40619129
289	2501687	40630851
290	2511353	40639057
291	2520985	40646577
292	2530632	40654228
293	2540250	40661286
294	2549458	40661696
295	2558547	40660157
296	2567606	40658088
297	2576369	40651314
298	2585417	40648991
299	2595191	40657998
300	2604209	40655088
301	2613514	40656590
302	2622443	40652208
303	2631017	40642292
304	2639507	40631103
305	2649911	40649289
306	2658476	40639191
307	2666893	40626829
308	2675302	40614383
309	2684249	40610098
310	2692778	40599481
311	2700937	40583318
312	2708972	40565347
313	2717921	40561088
314	2727037	40559268
315	2735967	40554655
316	2744914	40550266
317	2753500	40540538
318	2761628	40524079
319	2769874	40509414
320	2778494	40500229
321	2786953	40488723
322	2795877	40483960
323	2804608	40476389
324	2813474	40470750
325	2822368	40465490
326	2831387	40462002
327	2839871	40450845
328	2849359	40453976
329	2857574	40439006
