iter	Accuracy	MultiClass
208	0.7945231973	0.5664012736
209	0.7945163131	0.566229258
210	0.794670815	0.5659556625
211	0.7948736012	0.5656757283
212	0.79490363	0.5655772353
213	0.7951099627	0.5654306403
214	0.7950542299	0.5650822564
215	0.7950550065	0.5648947222
216	0.7951394411	0.5646639283
217	0.7952570299	0.5644768983
218	0.7954939112	0.5641255358
219	0.7957770177	0.5639333589
220	0.795635958	0.5635406617
221	0.7957510203	0.5633358083
222	0.7957003889	0.5629634966
223	0.7957331548	0.5626735866
224	0.7957532551	0.5624898812
225	0.7958426945	0.5622916411
226	0.7959671192	0.5620788488
227	0.795982603	0.56196586
228	0.7961640411	0.5617813017
229	0.7962181881	0.561467834
230	0.7962781163	0.5612871826
231	0.7961986054	0.5611686858
232	0.7962857771	0.5610838381
233	0.7965599906	0.5608514438
234	0.7966930496	0.5605300416
235	0.7966879637	0.5601779814
236	0.796866147	0.5600217545
237	0.7970399726	0.5598638593
238	0.7971203085	0.5597173064
239	0.7972990096	0.5596437144
240	0.7974450741	0.5594082365
241	0.7973480705	0.5591095108
242	0.797425022	0.5588900702
243	0.7973106552	0.5587181832
244	0.7974586611	0.5585035032
245	0.7975533159	0.5583393627
246	0.7975608472	0.5581369156
247	0.7976865526	0.5579669391
248	0.7975596979	0.5578149339
249	0.7975841231	0.5576751797
250	0.7976538349	0.5574583513
251	0.7976165007	0.5571999402
252	0.7976840414	0.5570478298
253	0.7977164191	0.5569043345
254	0.7976638117	0.5567850521
255	0.7977577865	0.5566325388
256	0.7980426914	0.5564457337
257	0.798119724	0.5562775437
258	0.7980134873	0.5561201566
259	0.7980802515	0.555968684
260	0.7981980509	0.5557164302
261	0.7983789231	0.5555027747
262	0.7983336692	0.5553676623
263	0.7982787941	0.555261229
264	0.7985006937	0.5550290364
265	0.7986681046	0.5547290683
266	0.7986610097	0.5545915957
267	0.7985694803	0.55447863
268	0.7985876201	0.5543510033
269	0.7987559716	0.5542115625
270	0.7987853533	0.5540909354
271	0.7988821463	0.553930391
272	0.7989209872	0.5537630792
273	0.7988682503	0.5536029342
274	0.7988813853	0.5534771819
275	0.7989260403	0.5533509074
276	0.798804061	0.5532138322
277	0.7987890949	0.5530202815
278	0.7987693828	0.5528176694
279	0.7988623706	0.5526195704
280	0.7989221694	0.552484651
281	0.7990393235	0.5522903106
282	0.7991368931	0.5521269531
283	0.7992795059	0.5518214428
284	0.7993735618	0.5516787544
285	0.7994989756	0.5514454081
286	0.7994846082	0.5512760246
287	0.7994320008	0.5511219333
288	0.7995587744	0.5509379682
289	0.7996409413	0.5507715073
290	0.7997012095	0.5505985802
291	0.7997633572	0.5504537192
292	0.7997382521	0.5502893704
293	0.799812677	0.5501900985
294	0.7996915071	0.5500685969
295	0.7997460906	0.5498050005
296	0.7996936937	0.5496784045
297	0.7996150076	0.5494613025
298	0.799849312	0.5491811734
299	0.7999438373	0.5490025948
300	0.800078824	0.548825175
301	0.8001334075	0.5486170917
302	0.8001759242	0.548502314
303	0.8001825979	0.5483370373
304	0.8001410683	0.5482632975
305	0.8003177624	0.5481087152
306	0.8004051447	0.5480105532
307	0.8004908599	0.5478932647
308	0.8006292309	0.5477439896
309	0.8007279033	0.5475989931
310	0.8007694813	0.5474101698
311	0.801032617	0.547193121
312	0.8012228344	0.5469724802
313	0.8012618857	0.5468015836
314	0.8013046612	0.5466801343
315	0.8013153663	0.5465076537
316	0.8013116905	0.5463302564
317	0.8014116108	0.546165664
318	0.8013617405	0.5459781941
319	0.8017071724	0.5457997494
320	0.8016797996	0.545688179
321	0.8017038365	0.545576289
322	0.8018727867	0.5453732096
323	0.8018221554	0.5452012533
324	0.8018643322	0.5450769191
325	0.8018071894	0.5449933158
326	0.8018472278	0.5448719025
327	0.802047617	0.544613864
328	0.8020745204	0.5444601324
329	0.8020971957	0.544214392
330	0.8020970662	0.5440706039
331	0.8022931305	0.5439348651
332	0.8022195304	0.5437293871
333	0.8023481022	0.5435321359
334	0.8027454945	0.5432769884
335	0.8026784715	0.5431269159
336	0.8028747946	0.5429897735
337	0.8029696271	0.5427537593
338	0.8028977286	0.5426387472
339	0.8028834908	0.5425376006
340	0.802878486	0.5424321403
341	0.8028463671	0.5423203571
342	0.8028234813	0.5422285795
343	0.8027763481	0.5421529964
344	0.8026049195	0.5418902216
345	0.8026003841	0.5417973245
346	0.8027095355	0.5416721932
347	0.8027624501	0.5414995482
348	0.8028921385	0.5413578035
349	0.8028923973	0.5411668473
350	0.8029399189	0.5410396221
351	0.8029349141	0.5409559136
352	0.8030045931	0.5408262734
353	0.8029622058	0.5406987804
354	0.8029984389	0.540405915
355	0.8031302656	0.5402898809
356	0.8031972559	0.5400647429
357	0.8034677452	0.5399189541
358	0.8035294235	0.5398130491
359	0.80356172	0.5397025168
360	0.8036937572	0.5396029675
361	0.8037659145	0.5394590898
362	0.8037991498	0.5393487478
363	0.8038400805	0.5391066425
364	0.8040015961	0.5389214668
365	0.8040419262	0.5387830679
366	0.8040390596	0.5385663707
367	0.804064553	0.5384476676
368	0.8041294378	0.5383664932
369	0.8040821751	0.538190387
370	0.8040319164	0.5380428671
371	0.8043488917	0.5378406784
372	0.8043564231	0.5376077003
373	0.8043310745	0.5372420451
374	0.8042058385	0.5370136536
375	0.8043370181	0.5368664254
376	0.8043944197	0.5367751079
377	0.8045531499	0.5365435953
378	0.8048140178	0.5363222652
379	0.8048104211	0.5361698181
380	0.8047975449	0.5360482407
381	0.8048336488	0.5358360246
382	0.8048443055	0.535669842
383	0.8048032472	0.5354706976
384	0.8049996998	0.5353053146
385	0.8050000881	0.5351432867
386	0.8049798583	0.5350176216
387	0.8050689094	0.5348515746
388	0.8051333248	0.5347015148
389	0.8052342649	0.5346022229
390	0.8051195581	0.5343297542
391	0.805139189	0.5341601685
392	0.8051807186	0.5338961667
393	0.8052130963	0.5337818759
394	0.8052195922	0.5336767051
395	0.8052669032	0.5334523055
396	0.8052355127	0.5333117887
397	0.8053385891	0.5331638642
398	0.8053979186	0.5328796041
399	0.8055167398	0.5327560619
400	0.8056005273	0.5326008827
401	0.8058923975	0.5322857754
402	0.8057482606	0.5320587825
403	0.8060151068	0.5318934624
404	0.8059850451	0.5315952498
405	0.8059178116	0.5313191884
406	0.8059076725	0.5312029587
407	0.805963017	0.5310640983
408	0.8060319659	0.5308653974
409	0.8060269611	0.5307111629
410	0.806070289	0.5305594034
411	0.8063710177	0.5303801339
412	0.8063391577	0.5301881695
413	0.8064280793	0.5299826045
414	0.8066447963	0.5296748383
415	0.8067684928	0.5295573807
416	0.8068167425	0.5293659912
417	0.806831838	0.5290675862
418	0.8068529274	0.5288846792
419	0.8069717968	0.5287074468
420	0.8071013557	0.5285190841
421	0.8070118352	0.5282497872
422	0.8072681678	0.528075752
423	0.8073032014	0.5279040291
424	0.8072293444	0.5275124843
425	0.8071804128	0.5272139862
426	0.8075591494	0.5269161332
427	0.8075112069	0.5266824342
428	0.8077558144	0.5263032739
429	0.8077852444	0.5260306256
430	0.8078138651	0.5257432143
431	0.8077938478	0.5254776669
432	0.8081670408	0.5251899746
433	0.808300262	0.5249279904
434	0.8082296925	0.5246924228
435	0.8081770367	0.5244586351
436	0.8081874366	0.5243042877
437	0.8085634342	0.5239800032
438	0.8085948731	0.5238016442
439	0.808803603	0.5235789399
440	0.8088734442	0.5233417525
441	0.809131575	0.5231551638
442	0.8092439002	0.5228822751
443	0.8091629329	0.5226563878
444	0.8093620434	0.5224369121
445	0.8093690087	0.5223055955
446	0.8092402264	0.5220413301
447	0.8093596946	0.5217944197
448	0.8094083829	0.5215265297
449	0.8093025693	0.5212256127
450	0.8094011606	0.5210590489
451	0.8094088195	0.5208937811
452	0.8098859678	0.5205931787
453	0.8099334081	0.5202428375
454	0.8100329401	0.5200445056
455	0.8100574464	0.5197534828
456	0.8101612996	0.5195603362
457	0.8102905997	0.5193779518
458	0.8103060835	0.5192132392
459	0.8103331646	0.5188654206
460	0.8104568611	0.518643254
461	0.8102770918	0.5183748702
462	0.8105713592	0.5181763707
463	0.8105784212	0.5179967867
464	0.8106999794	0.5177955003
465	0.8105780348	0.5175839467
466	0.810720551	0.5174029847
467	0.8108473729	0.5171306378
468	0.8108942472	0.5168348308
469	0.8110717023	0.5166245155
470	0.8108852593	0.5164400461
471	0.8108042089	0.5162796887
472	0.8108964685	0.5160761282
473	0.8111325712	0.5158468316
474	0.8112833817	0.5156259799
475	0.8114351309	0.5153524165
476	0.811629221	0.5150916289
477	0.8115063822	0.5148843785
478	0.8117826044	0.5147084839
479	0.8118864458	0.5145108143
480	0.8120359913	0.5142746283
481	0.8121163598	0.5140407243
482	0.812281667	0.5137889461
483	0.8121817022	0.5134531902
484	0.8122616013	0.5132576121
485	0.8124002311	0.5129966019
486	0.8125714491	0.5127954899
